Sample Filename,Sample ID,HPLID,Type,Pass/Fail,DQC,QC call_rate,call_rate,QC het_rate,het_rate,affymetrix-plate-barcode,affymetrix-plate-peg-wellposition,Average call rate for passing samples,Percent of passing samples
HPL-00333_DNA_225234_J12.CEL,HPL-00333_DNA,"HPL Biospsy 2022, 2 Mantle (DNA)",DNA,Pass,0.99528,98.645,98.809,28.653,28.335,5513774462030061924883,J12,98.354,44.271
HPL-00334_DNA_225234_L12.CEL,HPL-00334_DNA,"HPL Biospsy 2022, 34 Mantle (DNA)",DNA,Pass,0.99292,97.859,98.312,27.647,27.686,5513774462030061924883,L12,98.354,44.271
HPL-00335_DNA_225234_N12.CEL,HPL-00335_DNA,"HPL Biospsy 2022, B3 Mantle (DNA)",DNA,Pass,0.98821,98.31,98.831,24.996,25.104,5513774462030061924883,N12,98.354,44.271
HPL-00336_DNA_225234_P12.CEL,HPL-00336_DNA,"HPL Biospsy 2022, 24 Mantle (DNA)",DNA,Pass,0.98585,98.194,98.485,28.143,27.939,5513774462030061924883,P12,98.354,44.271
HPL-00337_DNA_225234_B14.CEL,HPL-00337_DNA,"HPL Biospsy 2022, 27 Mantle (DNA)",DNA,Pass,0.99292,98.674,99.042,28.973,28.564,5513774462030061924883,B14,98.354,44.271
HPL-00338_DNA_225234_D14.CEL,HPL-00338_DNA,"HPL Biospsy 2022, 6 Brush (DNA)",DNA,Pass,0.99292,98.398,98.86,25.477,25.573,5513774462030061924883,D14,98.354,44.271
HPL-00339_DNA_225234_F14.CEL,HPL-00339_DNA,"HPL Biospsy 2022, 6 Brush (DNA)",DNA,Pass,0.99528,98.383,98.857,25.535,25.619,5513774462030061924883,F14,98.354,44.271
HPL-00340_DNA_225234_H14.CEL,HPL-00340_DNA,"HPL Biospsy 2022, 5 eDNA (DNA)",DNA,Fail,0.88208,88.536,,32.746,,5513774462030061924883,H14,98.354,44.271
HPL-00341_DNA_225234_J14.CEL,HPL-00341_DNA,"HPL Biospsy 2022, 28 eDNA (DNA)",DNA,Fail,0.88208,94.232,,29.337,,5513774462030061924883,J14,98.354,44.271
HPL-00342_DNA_225234_L14.CEL,HPL-00342_DNA,"HPL Biospsy 2022, 41 eDNA (DNA)",DNA,Fail,0.24528,,,,,5513774462030061924883,L14,98.354,44.271
HPL-00343_DNA_225234_N14.CEL,HPL-00343_DNA,"HPL Biospsy 2022, 30 eDNA (DNA)",DNA,Fail,0.83255,86.38,,35.499,,5513774462030061924883,N14,98.354,44.271
HPL-00344_DNA_225234_P14.CEL,HPL-00344_DNA,"HPL Biospsy 2022, 38 eDNA (DNA)",DNA,Fail,0.83491,90.896,,32.921,,5513774462030061924883,P14,98.354,44.271
HPL-00345_DNA_225234_B16.CEL,HPL-00345_DNA,"HPL Biospsy 2022, 42 eDNA (DNA)",DNA,Fail,0.87028,85.841,,38.951,,5513774462030061924883,B16,98.354,44.271
HPL-00346_DNA_225234_D16.CEL,HPL-00346_DNA,"HPL Biospsy 2022, 40 eDNA (DNA)",DNA,Fail,0.625,,,,,5513774462030061924883,D16,98.354,44.271
HPL-00347_DNA_225234_F16.CEL,HPL-00347_DNA,"HPL Biospsy 2022, 48 eDNA (DNA)",DNA,Fail,0.53302,,,,,5513774462030061924883,F16,98.354,44.271
HPL-00348_DNA_225234_H16.CEL,HPL-00348_DNA,"HPL Biospsy 2022, 17 eDNA (DNA)",DNA,Fail,0.43632,,,,,5513774462030061924883,H16,98.354,44.271
HPL-00349_DNA_225234_J16.CEL,HPL-00349_DNA,"HPL Biospsy 2022, 43 eDNA (DNA)",DNA,Fail,0.28538,,,,,5513774462030061924883,J16,98.354,44.271
HPL-00350_DNA_225234_L16.CEL,HPL-00350_DNA,"HPL Biospsy 2022, 40 Add (DNA)",DNA,Pass,0.98821,98.572,98.69,28.114,27.888,5513774462030061924883,L16,98.354,44.271
HPL-00351_DNA_225234_N16.CEL,HPL-00351_DNA,"HPL Biospsy 2022, 50 Add (DNA)",DNA,Pass,0.98349,98.98,99.086,29.541,29.094,5513774462030061924883,N16,98.354,44.271
HPL-00352_DNA_225234_P16.CEL,HPL-00352_DNA,"HPL Biospsy 2022, 5 Add (DNA)",DNA,Pass,0.97877,98.776,98.572,23.525,22.823,5513774462030061924883,P16,98.354,44.271
HPL-00353_DNA_225234_B18.CEL,HPL-00353_DNA,"HPL Biospsy 2022, 34 Add (DNA)",DNA,Pass,0.99528,98.82,99.07,27.312,27.27,5513774462030061924883,B18,98.354,44.271
HPL-00354_DNA_225234_D18.CEL,HPL-00354_DNA,"HPL Biospsy 2022, 41 Add (DNA)",DNA,Pass,0.99764,98.878,99.006,29.731,29.515,5513774462030061924883,D18,98.354,44.271
HPL-00355_DNA_225234_F18.CEL,HPL-00355_DNA,"HPL Biospsy 2022, 24 Add (DNA)",DNA,Pass,0.99764,97.407,98.165,28.755,29.093,5513774462030061924883,F18,98.354,44.271
HPL-00356_DNA_225234_H18.CEL,HPL-00356_DNA,"HPL Biospsy 2022, 42 Add (DNA)",DNA,Pass,0.99292,97.611,98.082,28.288,28.135,5513774462030061924883,H18,98.354,44.271
HPL-00357_DNA_225234_J18.CEL,HPL-00357_DNA,"HPL Biospsy 2022, 44 Add (DNA)",DNA,Pass,0.99764,98.922,99.02,28.594,27.804,5513774462030061924883,J18,98.354,44.271
HPL-00358_DNA_225234_L18.CEL,HPL-00358_DNA,"HPL Biospsy 2022, 28 Add (DNA)",DNA,Pass,0.99528,98.325,98.678,27.779,27.463,5513774462030061924883,L18,98.354,44.271
HPL-00359_DNA_225234_N18.CEL,HPL-00359_DNA,"HPL Biospsy 2022, 17 Add (DNA)",DNA,Pass,0.97877,98.412,98.762,27.575,27.771,5513774462030061924883,N18,98.354,44.271
HPL-00360_DNA_225234_P18.CEL,HPL-00360_DNA,"HPL Biospsy 2022, 18 Add (DNA)",DNA,Pass,0.98585,98.689,98.763,25.725,24.94,5513774462030061924883,P18,98.354,44.271
HPL-00361_DNA_225234_B20.CEL,HPL-00361_DNA,"HPL Biospsy 2022, 30 Add (DNA)",DNA,Pass,0.99528,98.674,99.018,27.808,27.061,5513774462030061924883,B20,98.354,44.271
HPL-00362_DNA_225234_D20.CEL,HPL-00362_DNA,"HPL Biospsy 2022, 25 Add (DNA)",DNA,Pass,0.99764,98.485,98.827,25.87,25.833,5513774462030061924883,D20,98.354,44.271
HPL-00363_DNA_225234_F20.CEL,HPL-00363_DNA,"HPL Biospsy 2022, 53 Add (DNA)",DNA,Pass,0.99057,98.543,98.753,26.118,25.799,5513774462030061924883,F20,98.354,44.271
HPL-00364_DNA_225234_H20.CEL,HPL-00364_DNA,"HPL Biospsy 2022, 4 Add (DNA)",DNA,Pass,0.99057,98.383,98.683,27.589,27.288,5513774462030061924883,H20,98.354,44.271
HPL-00365_DNA_225234_J20.CEL,HPL-00365_DNA,"HPL Biospsy 2022, 8 Add (DNA)",DNA,Pass,0.99528,98.951,99.051,29.294,28.853,5513774462030061924883,J20,98.354,44.271
HPL-00366_DNA_225234_L20.CEL,HPL-00366_DNA,"HPL Biospsy 2022, 9 Add (DNA)",DNA,Pass,0.98821,98.47,98.699,27.298,27.059,5513774462030061924883,L20,98.354,44.271
HPL-00367_DNA_225234_N20.CEL,HPL-00367_DNA,"HPL Biospsy 2022, 38 Add (DNA)",DNA,Pass,0.99764,98.849,99.035,28.216,27.953,5513774462030061924883,N20,98.354,44.271
HPL-00368_DNA_225234_P20.CEL,HPL-00368_DNA,"HPL Biospsy 2022, 42 Add (DNA)",DNA,Pass,1,98.776,98.909,28.871,27.939,5513774462030061924883,P20,98.354,44.271
HPL-00369_DNA_225234_B22.CEL,HPL-00369_DNA,"HPL Biospsy 2022, 2 Add (DNA)",DNA,Pass,0.99292,98.645,98.842,28.521,28.073,5513774462030061924883,B22,98.354,44.271
HPL-00370_DNA_225234_D22.CEL,HPL-00370_DNA,"HPL Biospsy 2022, 3 Add (DNA)",DNA,Pass,0.98113,98.66,99.033,25.273,25.417,5513774462030061924883,D22,98.354,44.271
HPL-00371_DNA_225234_F22.CEL,HPL-00371_DNA,"HPL Biospsy 2022, 48 Add (DNA)",DNA,Pass,0.99528,98.689,98.988,27.181,26.183,5513774462030061924883,F22,98.354,44.271
HPL-00372_DNA_225234_H22.CEL,HPL-00372_DNA,"HPL Biospsy 2022, 6 Add (DNA)",DNA,Pass,0.99528,98.587,99.011,25.433,25.569,5513774462030061924883,H22,98.354,44.271
